TID;OMRÅDE;KØN;ALDER;CIVILSTAND;INDHOLD
2008K1;Hele landet;I alt;I alt;I alt;5475791
2008K1;Hele landet;I alt;I alt;Ugift;2552700
2008K1;Hele landet;I alt;I alt;Gift/separeret;2176977
2008K1;Hele landet;I alt;I alt;Enke/enkemand;317250
2008K1;Hele landet;I alt;I alt;Fraskilt;428864
2008K1;Hele landet;I alt;0 år;I alt;64412
2008K1;Hele landet;I alt;0 år;Ugift;64412
2008K1;Hele landet;I alt;0 år;Gift/separeret;0
2008K1;Hele landet;I alt;0 år;Enke/enkemand;0
2008K1;Hele landet;I alt;0 år;Fraskilt;0
2008K1;Hele landet;I alt;1 år;I alt;65722
2008K1;Hele landet;I alt;1 år;Ugift;65722
2008K1;Hele landet;I alt;1 år;Gift/separeret;0
2008K1;Hele landet;I alt;1 år;Enke/enkemand;0
2008K1;Hele landet;I alt;1 år;Fraskilt;0
2008K1;Hele landet;I alt;2 år;I alt;64993
2008K1;Hele landet;I alt;2 år;Ugift;64993
2008K1;Hele landet;I alt;2 år;Gift/separeret;0
2008K1;Hele landet;I alt;2 år;Enke/enkemand;0
2008K1;Hele landet;I alt;2 år;Fraskilt;0
2008K1;Hele landet;I alt;3 år;I alt;65216
2008K1;Hele landet;I alt;3 år;Ugift;65216
2008K1;Hele landet;I alt;3 år;Gift/separeret;0
2008K1;Hele landet;I alt;3 år;Enke/enkemand;0
2008K1;Hele landet;I alt;3 år;Fraskilt;0
2008K1;Hele landet;I alt;4 år;I alt;65263
2008K1;Hele landet;I alt;4 år;Ugift;65263
2008K1;Hele landet;I alt;4 år;Gift/separeret;0
2008K1;Hele landet;I alt;4 år;Enke/enkemand;0
2008K1;Hele landet;I alt;4 år;Fraskilt;0
2008K1;Hele landet;I alt;5 år;I alt;64711
2008K1;Hele landet;I alt;5 år;Ugift;64711
2008K1;Hele landet;I alt;5 år;Gift/separeret;0
2008K1;Hele landet;I alt;5 år;Enke/enkemand;0
2008K1;Hele landet;I alt;5 år;Fraskilt;0
2008K1;Hele landet;I alt;6 år;I alt;65825
2008K1;Hele landet;I alt;6 år;Ugift;65825
2008K1;Hele landet;I alt;6 år;Gift/separeret;0
2008K1;Hele landet;I alt;6 år;Enke/enkemand;0
2008K1;Hele landet;I alt;6 år;Fraskilt;0
2008K1;Hele landet;I alt;7 år;I alt;67681
2008K1;Hele landet;I alt;7 år;Ugift;67681
2008K1;Hele landet;I alt;7 år;Gift/separeret;0
2008K1;Hele landet;I alt;7 år;Enke/enkemand;0
